country,name,full_name,isin,currency,symbol
indonesia,Citra Marga,Citra Marga Nusaphala Persada,ID1000070402,IDR,CMNP
indonesia,Clipan Finance,Clipan Finance Indonesia Tbk,ID1000095201,IDR,CFIN
indonesia,Colorpak Indonesia,Colorpak Indonesia Tbk,ID1000079106,IDR,CLPI
indonesia,Cowell Development,Cowell Development Tbk,ID1000108707,IDR,COWL
indonesia,Darma Henwa,Darma Henwa Tbk,ID1000107303,IDR,DEWA
indonesia,Darya-Varia,Darya-Varia Laboratoria Tbk,ID1000117203,IDR,DVLA
indonesia,Delta Dunia Makmur,Delta Dunia Makmur Tbk,ID1000110505,IDR,DOID
indonesia,Dharma Samudera,Dharma Samudera Fishing Tbk,ID1000065808,IDR,DSFI
indonesia,Dharma Satya,Dharma Satya Nusantara Tbk,ID1000135809,IDR,DSNG
indonesia,Duta Pertiwi Nusantara,Duta Pertiwi Nusantara Tbk,ID1000103500,IDR,DPNS
indonesia,Duta Anggada,Duta Anggada Realty Tbk,ID1000089303,IDR,DART
indonesia,Duta Pertiwi,Duta Pertiwi Tbk,ID1000076300,IDR,DUTI
indonesia,Dyandra Media,Dyandra Media International,ID1000126808,IDR,DYAN
indonesia,Ekadharma,Ekadharma International Tbk,ID1000104805,IDR,EKAD
indonesia,Electronic City Ind,Electronic City Indonesia Tbk,ID1000127905,IDR,ECII
indonesia,Elnusa,Elnusa Tbk,ID1000109606,IDR,ELSA
indonesia,Energi Mega Persada,Energi Mega Persada Tbk,ID1000098304,IDR,ENRG
indonesia,Erajaya Swasembada,Erajaya Swasembada Tbk,ID1000121601,IDR,ERAA
indonesia,Eterindo Wahanatama,Eterindo Wahanatama Tbk,ID1000064405,IDR,ETWA
indonesia,Eureka Prima Jakarta,Eureka Prima Jakarta Tbk,ID1000106503,IDR,LCGP
indonesia,Exploitasi Energi,Exploitasi Energi Indonesia,ID1000096209,IDR,CNKO
indonesia,Express Transindo,Express Transindo Utama Tbk,ID1000125404,IDR,TAXI
indonesia,Fajar Surya Wisesa,Fajar Surya Wisesa Tbk,ID1000068208,IDR,FASW
indonesia,First Media,First Media Tbk,ID1000051709,IDR,KBLV
indonesia,Fortune Indonesia,Fortune Indonesia Tbk,ID1000080203,IDR,FORU
indonesia,Fortune Mate,Fortune Mate Indonesia Tbk,ID1000091200,IDR,FMII
indonesia,Gading Development,Gading Development Tbk,ID1000123201,IDR,GAMA
indonesia,Gajah Tunggal,Gajah Tunggal Tbk,ID1000086002,IDR,GJTL
indonesia,Garda Tujuh Buana,Garda Tujuh Buana Tbk,ID1000113004,IDR,GTBO
indonesia,Garuda Indonesia,Garuda Indonesia Persero Tbk,ID1000118300,IDR,GIAA
indonesia,Gema Grahasarana,Gema Grahasarana Tbk,ID1000092505,IDR,GEMA
indonesia,Global Mediacom,Global Mediacom Tbk,ID1000105604,IDR,BMTR
indonesia,Global Teleshop,Global Teleshop Tbk,ID1000123706,IDR,GLOB
indonesia,Golden Eagle Energy,Golden Eagle Energy Tbk,ID1000100704,IDR,SMMT
indonesia,Visi Telekomunikasi,Visi Telekomunikasi Infrastruktur Tbk PT,ID1000116205,IDR,GOLD
indonesia,Gowa Makassar,Gowa Makassar Tourism Develop,ID1000064009,IDR,GMTD
indonesia,Gozco Plantations,Gozco Plantations Tbk,ID1000110604,IDR,GZCO
indonesia,Graha Layar Prima,Graha Layar Prima Tbk,ID1000131402,IDR,BLTZ
indonesia,Grand Kartech,Grand Kartech Tbk,ID1000129505,IDR,KRAH
indonesia,Greenwood Sejahtera,Greenwood Sejahtera Tbk,ID1000121809,IDR,GWSA
indonesia,Gudang Garam,Gudang Garam Tbk,ID1000068604,IDR,GGRM
indonesia,Gunawan Dianjaya Steel,Gunawan Dianjaya Steel Tbk,ID1000113806,IDR,GDST
indonesia,Harum Energy,Harum Energy Tbk,ID1000116601,IDR,HRUM
indonesia,Hero Supermarket,Hero Supermarket Tbk,ID1000122708,IDR,HERO
indonesia,Hexindo Adiperkasa,Hexindo Adiperkasa Tbk,ID1000102205,IDR,HEXA
indonesia,Holcim Indonesia,Holcim Indonesia Tbk,ID1000072309,IDR,SMCB
indonesia,Hotel Mandarine Regency,Hotel Mandarine Regency Tbk PT,ID1000111404,IDR,HOME
indonesia,Hotel Sahid Jaya,Hotel Sahid Jaya Tbk,ID1000068505,IDR,SHID
indonesia,Ictsi Jasa Prima,Ictsi Jasa Prima Tbk,ID1000079205,IDR,KARW
indonesia,Indonesia Trans & Infr,Indonesia Transport & Infrastructure,ID1000104409,IDR,IATA
indonesia,Indah Kiat Pulp & Paper,Indah Kiat Pulp & Paper Tbk,ID1000062201,IDR,INKP
indonesia,Indal Aluminium,Indal Aluminium Industry Tbk,ID1000130800,IDR,INAI
indonesia,Indika Energy,Indika Energy Tbk,ID1000110901,IDR,INDY
indonesia,Indo Acidatama,Indo Acidatama Tbk,ID1000102601,IDR,SRSN
indonesia,Indo Tambangraya,Indo Tambangraya Megah Tbk,ID1000108509,IDR,ITMG
indonesia,Indocement Tunggal,Indocement Tunggal Prakarsa,ID1000061302,IDR,INTP
